unc_type	rate	time_avg	time_stddev	memory_mb
baseline	100	7.887389932692308	2.7958619060684344	47.0
baseline	500	25.207064355769234	8.954051485303985	205.0
baseline	1000	42.385105932692305	4.235849076172433	395.0
baseline	1500	62.342537192307695	8.48160994215397	577.0
baseline	2000	73.41390175	13.290152945513372	778.0
baseline	2500	97.46321095192307	18.34446286161876	957.0
baseline	3000	105.97450002884617	24.95158436765585	1151.0
baseline	100	4.731005057692308	1.1902872762984558	440.0
baseline	500	15.800943336538461	1.59325537697335	547.0
baseline	1000	28.458707028846153	2.8452236821313144	661.0
baseline	1500	40.892372884615384	3.2889340630458874	782.0
baseline	2000	57.95912310576923	6.895539165853154	910.0
baseline	2500	72.11105840384616	6.363996383090866	1031.0
baseline	3000	96.76574054807693	21.447833656905352	1143.0
fuzzy	100	4.644818807692308	0.6606338859361934	447.0
fuzzy	500	15.686503798076924	1.6210777023162197	547.0
fuzzy	1000	28.09741753846154	2.252120411086922	661.0
fuzzy	1500	40.99998786538462	3.452547511388099	782.0
fuzzy	2000	59.827754163461535	12.401685863335654	910.0
fuzzy	2500	67.3205175576923	7.866362804297963	1031.0
fuzzy	3000	103.93921798076923	29.009204379066514	1145.0
probability	100	4.476303355769231	0.6160304986479802	448.0
probability	500	16.018243009615382	1.862889183612088	547.0
probability	1000	28.589010009615382	3.099968203588294	661.0
probability	1500	40.72951989423077	2.867250303657791	782.0
probability	2000	60.32246872115385	16.0806859801112	907.0
probability	2500	61.20309091346154	22.82387298929418	1023.0
probability	3000	119.55470466346154	45.416131770851884	1142.0
bayes	100	4.489471548076923	0.5975101960167367	446.0
bayes	500	15.728926144230769	1.0126145390090773	546.0
bayes	1000	28.17478423076923	2.185060035965265	661.0
bayes	1500	40.686249634615386	2.8780536707227227	782.0
bayes	2000	60.40665195192308	15.64875872867472	908.0
bayes	2500	68.44293966346153	11.412565413287757	1031.0
bayes	3000	121.2058572403846	45.6525029113341	1145.0
